Frame-by-Frame PSNR Analysis: CPU vs CUDA Butterworth
============================================================

Total Frames: 301
Average PSNR: 38.05 dB
Minimum PSNR: 5.40 dB (Frame 5)
Maximum PSNR: 42.66 dB
Standard Deviation: 9.49 dB

Top 10 Lowest PSNR Frames:
   1. Frame   5: 5.40 dB (t=0.17s)
   2. Frame   4: 5.41 dB (t=0.13s)
   3. Frame   6: 5.45 dB (t=0.20s)
   4. Frame   3: 5.57 dB (t=0.10s)
   5. Frame   7: 5.58 dB (t=0.23s)
   6. Frame   8: 5.75 dB (t=0.27s)
   7. Frame   2: 5.99 dB (t=0.07s)
   8. Frame   9: 6.00 dB (t=0.30s)
   9. Frame  10: 6.28 dB (t=0.33s)
  10. Frame  11: 6.61 dB (t=0.37s)

All Frame PSNR Values:
Frame 199: 41.71 dB
Frame 200: 41.69 dB
Frame 201: 41.79 dB
Frame 202: 41.94 dB
Frame 203: 42.05 dB
Frame 204: 42.29 dB
Frame 205: 42.42 dB
Frame 206: 42.50 dB
Frame 207: 42.49 dB
Frame 208: 42.36 dB
Frame 209: 42.38 dB
Frame 210: 42.24 dB
Frame 211: 42.16 dB
Frame 212: 42.05 dB
Frame 213: 42.14 dB
Frame 214: 42.12 dB
Frame 215: 42.15 dB
Frame 216: 42.22 dB
Frame 217: 42.22 dB
Frame 218: 42.08 dB
Frame 219: 41.93 dB
Frame 220: 41.82 dB
Frame 221: 41.72 dB
Frame 222: 41.40 dB
Frame 223: 41.06 dB
Frame 224: 40.91 dB
Frame 225: 40.76 dB
Frame 226: 40.49 dB
Frame 227: 40.17 dB
Frame 228: 40.20 dB
Frame 229: 40.23 dB
Frame 230: 40.19 dB
Frame 231: 40.25 dB
Frame 232: 40.64 dB
Frame 233: 41.04 dB
Frame 234: 41.30 dB
Frame 235: 41.55 dB
Frame 236: 42.00 dB
Frame 237: 42.35 dB
Frame 238: 42.62 dB
Frame 239: 42.56 dB
Frame 240: 42.58 dB
Frame 241: 42.60 dB
Frame 242: 42.42 dB
Frame 243: 42.19 dB
Frame 244: 41.91 dB
Frame 245: 41.79 dB
Frame 246: 41.85 dB
Frame 247: 41.94 dB
Frame 248: 41.92 dB
Frame 249: 42.17 dB
Frame 250: 42.47 dB
Frame 251: 42.43 dB
Frame 252: 42.41 dB
Frame 253: 42.26 dB
Frame 254: 42.26 dB
Frame 255: 42.17 dB
Frame 256: 42.31 dB
Frame 257: 42.43 dB
Frame 258: 42.38 dB
Frame 259: 42.44 dB
Frame 260: 42.50 dB
Frame 261: 42.66 dB
Frame 262: 42.56 dB
Frame 263: 42.45 dB
Frame 264: 42.44 dB
Frame 265: 42.48 dB
Frame 266: 42.23 dB
Frame 267: 42.09 dB
Frame 268: 42.04 dB
Frame 269: 42.03 dB
Frame 270: 41.96 dB
Frame 271: 42.06 dB
Frame 272: 42.27 dB
Frame 273: 42.39 dB
Frame 274: 42.34 dB
Frame 275: 42.17 dB
Frame 276: 42.02 dB
Frame 277: 41.84 dB
Frame 278: 41.79 dB
Frame 279: 41.57 dB
Frame 280: 41.52 dB
Frame 281: 41.66 dB
Frame 282: 41.73 dB
Frame 283: 41.79 dB
Frame 284: 41.81 dB
Frame 285: 41.86 dB
Frame 286: 41.90 dB
Frame 287: 41.51 dB
Frame 288: 41.24 dB
Frame 289: 41.12 dB
Frame 290: 40.97 dB
Frame 291: 40.96 dB
Frame 292: 41.06 dB
Frame 293: 41.33 dB
Frame 294: 41.39 dB
Frame 295: 41.41 dB
Frame 296: 41.48 dB
Frame 297: 41.46 dB
Frame 298: 41.43 dB
Frame 299: 41.35 dB
Frame 300: 41.28 dB
